Codice Univoco Submisura;Descrizione Submisura;Numero seriale ;Titolo Bando o Avviso;CIG;Soggetto emanante;Codice Fiscale;Importo complessivo gara;Importo previsto PNRR;Importo previsto altri fondi;Data apertura bando;Data chiusura effettiva bando;Fino ad esaurimento risorse;Stato del Bando;Link al bando;Numero richieste;Numero partecipanti;Importo totale interventi-progetti proposti;Numero degli aggiudicatari;Destinatari del Bando o dell’Avviso;Importo Aggiudicato Totale;Importo Aggiudicato PNRR;Importo Aggiudicato Altri Fondi;Data aggiornamento-osservazione bandi
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;28;Avviso per la ricerca di Ingegneri delle telecomunicazioni, elettronici ed elettrotecnici;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;9288700;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=1b5e51df93c343439a6c0f410a34e315;967;29;;29;Individui / Liberi Professionisti;9288700;9288700;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;29;Avviso per la ricerca di Ingegneri energetici;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;11851100;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=35f0655bdf864bf988b99c4a2d07531d;1815;33;;33;Individui / Liberi Professionisti;10569900;10569900;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;30;Avviso per la ricerca di Ingegneri gestionali;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;13452600;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=f101d823c56d48e285cc25339319b650;1326;40;;40;Individui / Liberi Professionisti;12812000;12812000;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;31;Avviso per la ricerca di Ingegneri idraulici;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;3843600;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=3e8a3a4877aa40169a8baca142cc35d1;711;11;;11;Individui / Liberi Professionisti;3523300;3523300;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;32;Avviso per la ricerca di Ingegneri informatici;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;7687200;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=d0b017f03a5a483883815abedbdd9fde;625;25;;25;Individui / Liberi Professionisti;8007500;8007500;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;33;Avviso per la ricerca di Ingegneri;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;3843600;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=cc2fbde66d4149f0a8cdfd4dd5e87135;2386;12;;12;Individui / Liberi Professionisti;3843600;3843600;;03/05/2022
M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;34;Avviso per la ricerca di Periti chimici;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;1281200;;30/11/2021;06/12/2021;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=1e0cb9894b90465f9e7fbe33f3f7ac38;11;3;;3;Individui / Liberi Professionisti;960900;960900;;03/05/2022
M1C1I2.03.01;Investimenti in istruzione e formazione;220;"Avviso pubblico per la ricerca di n. 1 Coordinatore/trice di Segreteria Tecnica 
da assegnare alla Presidenza del Consiglio dei Ministri – Dipartimento della funzione pubblica ";;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;;;19/12/2022;29/12/2022;;Chiuso;https://portale.inpa.gov.it/ui/public-area/concoursedetail/425f8f1ffa33422496205c55838f0102;;;;;Individui;;;;23/12/2022
M1C1I2.03.01;Investimenti in istruzione e formazione;221;Avviso pubblico per la ricerca di n. 1 Esperto/a in pianificazione, gestione di interventi formativi e valutazione delle competenze da assegnare alla Presidenza del Consiglio dei ministri – Dipartimento per la funzione pubblica;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;;;19/12/2022;29/12/2022;;Chiuso;https://portale.inpa.gov.it/ui/public-area/concoursedetail/64c3b06db2274a9aa3a31dab20262e5f;;;;;Individui;;;;23/12/2022
M1C1I2.03.01;Investimenti in istruzione e formazione;222;"Avviso pubblico per la ricerca di n. 1  Esperto/a tematico su processi, strumenti e competenze per la transizione ecologica
da assegnare alla Presidenza del Consiglio dei ministri – Dipartimento per la funzione pubblica";;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;;;19/12/2022;29/12/2022;;Chiuso;https://portale.inpa.gov.it/ui/public-area/concoursedetail/ff70fe4f145b40e99349307309ed50ec;;;;;Individui;;;;23/12/2022
M1C1I2.03.01;Investimenti in istruzione e formazione;223;"Avviso pubblico per la ricerca di n. 1  Esperto/a tematico su processi, strumenti e competenze per la transizione amministrativa 
da assegnare alla Presidenza del Consiglio dei ministri – Dipartimento per la funzione pubblica";;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;;;19/12/2022;29/12/2022;;Chiuso;https://portale.inpa.gov.it/ui/public-area/concoursedetail/13ffde5537d647a6b4fcb7ff6220e944;;;;;Individui;;;;23/12/2022
M1C1I2.03.01;Investimenti in istruzione e formazione;224;"Avviso pubblico per la ricerca di n. 1 Esperto/a tematico di progettazione e gestione di percorsi formativi delle PA
da assegnare alla Presidenza del Consiglio dei Ministri – Dipartimento per la funzione pubblica ";;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;;;19/12/2022;29/12/2022;;Chiuso;https://portale.inpa.gov.it/ui/public-area/concoursedetail/3689cfa01cbc4d199b9065c8016e2536;;;;;Individui;;;;23/12/2022
M1C1I2.03.01;Investimenti in istruzione e formazione;225;Avviso pubblico per la ricerca di n. 1 Esperto/a di soluzioni tecnico-informatiche a supporto della gestione e monitoraggio di interventi di sviluppo delle competenze da assegnare alla Presidenza del Consiglio dei Ministri – Dipartimento per la funzione pubblica;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;;;19/12/2022;29/12/2022;;Chiuso;https://portale.inpa.gov.it/ui/public-area/concoursedetail/c185b2df3c6849da96d41f1c5d249644;;;;;Individui;;;;23/12/2022
M1C1I2.03.01;Investimenti in istruzione e formazione;226;"Avviso pubblico per la ricerca di n. 2 Esperti/e nella realizzazione di studi e indagini su temi di innovazione organizzativa e sviluppo delle competenze
da assegnare alla Presidenza del Consiglio dei ministri – Dipartimento per la funzione pubblica";;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;;;19/12/2022;29/12/2022;;Chiuso;https://portale.inpa.gov.it/ui/public-area/concoursedetail/8bf0452bf5a74bcc8a2de2360d215613;;;;;Individui;;;;23/12/2022
M1C1I2.03.01;Investimenti in istruzione e formazione;227;"Avviso pubblico per la ricerca di n. 1 Esperto/a in gestione, analisi, manipolazione e rappresentazione di dati
da assegnare alla Presidenza del Consiglio dei Ministri – Dipartimento per la funzione pubblica";;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;;;19/12/2022;29/12/2022;;Chiuso;https://portale.inpa.gov.it/ui/public-area/concoursedetail/a3b2b65c5dba45c0be1a089b2b90f55c;;;;;Individui;;;;23/12/2022
M1C1I2.03.01;Investimenti in istruzione e formazione;228;Avviso pubblico per la ricerca di n. 1 Esperto/a statistico da assegnare alla Presidenza del Consiglio dei Ministri – Dipartimento per la funzione pubblica ;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;;;19/12/2022;29/12/2022;;Chiuso;https://portale.inpa.gov.it/ui/public-area/concoursedetail/248869b478b24997bccd972fe65188ee;;;;;Individui;;;;23/12/2022
M1C1I2.03.01;Investimenti in istruzione e formazione;229;"Avviso pubblico per la ricerca di n. 1 Coordinatore/trice dell’unità di misurazione e valutazione della formazione da assegnare alla Presidenza del Consiglio dei 
Ministri – Dipartimento per la funzione pubblica";;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;;;19/12/2022;29/12/2022;;Chiuso;https://portale.inpa.gov.it/ui/public-area/concoursedetail/728e3545631c42e4ab6b144666f1518b;;;;;Individui;;;;23/12/2022
M1C1I2.03.01;Investimenti in istruzione e formazione;230;Avviso pubblico per la ricerca di n. 1 Esperto/a di analisi e valutazione delle politiche pubbliche da assegnare alla Presidenza del Consiglio dei Ministri – Dipartimento per la funzione pubblica;;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;;;19/12/2022;29/12/2022;;Chiuso;https://portale.inpa.gov.it/ui/public-area/concoursedetail/4e0d2d059a5840aabff9a994dd8defc8;;;;;Individui;;;;23/12/2022
M1C1I2.03.01;Investimenti in istruzione e formazione;231;"Avviso pubblico per la ricerca di n. 1 Esperto/a in materia di misurazione e valutazione dell’attività formativa da assegnare alla Presidenza del Consiglio dei
Ministri – Dipartimento per la funzione pubblica";;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;;;19/12/2022;29/12/2022;;Chiuso;https://portale.inpa.gov.it/ui/public-area/concoursedetail/d0a7fbf8fa504060a81ff9bd6b12cadc;;;;;Individui;;;;23/12/2022
M1C1I2.03.01;Investimenti in istruzione e formazione;232;"Avviso pubblico per la ricerca di n. 2 Esperti/e in materia di misurazione e valutazione da assegnare alla Presidenza del Consiglio dei 
Ministri – Dipartimento per la funzione pubblica";;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;80188230587;N/A;;;19/12/2022;29/12/2022;;Chiuso;https://portale.inpa.gov.it/ui/public-area/concoursedetail/a0ed47620bd2478b9c5692e8ded6d116;;;;;Individui;;;;23/12/2022
M1C1I3.00.01;Investimento in capitale umano per rafforzare l’Ufficio del Processo e superare le disparità tra tribunali;2;Bando di concorso per il reclutamento a tempo determinato di 8.171 unità di personale con il profilo di Addetto all’Ufficio per il Processo;;MINISTERO DELLA GIUSTIZIA;80184430587;N/A;2246331756;;06/08/2021;23/09/2021;;Chiuso;http://riqualificazione.formez.it/content/ministero-giustizia-concorso-lassunzione-8171-unita-personale-tempo-determinato%20;66015;8171;;8171;Individui;2246331756;2246331756;;03/05/2022
M1C1I3.00.01;Investimento in capitale umano per rafforzare l’Ufficio del Processo e superare le disparità tra tribunali;41;Concorso pubblico, per titoli ed esami, su base distrettuale, per il reclutamento a tempo determinato di n. 79 unita’ di personale non dirigenziale dell’Area funzionale terza, Fascia economica F1, con il profilo di Addetto all’Ufficio per il processo, da inquadrare tra il personale del Ministero della giustizia, presso gli uffici giudiziari del Distretto di Corte di Appello di Trento.;;MINISTERO DELLA GIUSTIZIA;80184430587;N/A;21718297,48;;10/12/2021;17/01/2022;;Chiuso;https://www.gazzettaufficiale.it/atto/concorsi/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2021-12-10&atto.codiceRedazionale=21E14206;1710;79;;79;Individui;;;;03/05/2022
M1C1I3.00.01;Investimento in capitale umano per rafforzare l’Ufficio del Processo e superare le disparità tra tribunali;108;Concorsi Ripam Giustizia per un totale di 5.410 unità, a tempo determinato, di personale non dirigenziale, di cui 750 unità area funzionale II, fascia economica F2, n. 3000 unità area funzionale seconda, fascia economica F1 e n. 1660 unità area funzionale terza, fascia economica F1;;MINISTERO DELLA GIUSTIZIA;80184430587;N/A;;;01/04/2022;28/04/2022;;Chiuso;http://riqualificazione.formez.it/content/concorsi-ripam-giustizia-totale-5410-unita-tempo-determinato-personale-non-dirigenziale-cui;72188;;;;Individui;;;;27/05/2022
M1C1I3.00.02;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;1;Concorsi pubblici, per titoli e prova scritta, per il reclutamento, con contratto di lavoro a tempo pieno e determinato della durata di 30 mesi, non rinnovabile, di un primo scaglione di n. 168 unità di personale non dirigenziale - 2021;;GIUST AMM.VA (CONSIGLIO DI STATO E TAR);80427570587;N/A;40307142,86;;06/07/2021;05/08/2021;;Chiuso;https://concorsionline.giustizia-amministrativa.it/pnrr/concorsipnrr2021/Pagine/home.aspx;5199;;;162;Individui;40307142,86;40307142,86;;23/05/2022
M1C1I3.00.02;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;79;Concorso pubblico per reclutare 6 assistenti informatici per la giustizia amministrativa;;GIUST AMM.VA (CONSIGLIO DI STATO E TAR);80427570587;N/A;1492857,143;;01/02/2022;03/03/2022;;Chiuso;https://concorsionline.giustizia-amministrativa.it/pnrr/pnrrFebbraio2022/Pagine/home.aspx;41;6;;6;Individui;;;;23/05/2022
M1C1R1.02.01;Ufficio Trasformazione;147;Avviso pubblico per la ricerca di n. 2 HR Director da assegnare alla Presidenza del Consiglio dei ministri – Dipartimento per la trasformazione digitale – Team centrale del Transformation Office ;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;21/07/2022;01/08/2022;;Aggiudicato;https://portale.inpa.gov.it/ui/public-area/concoursedetail/e6af66c5d1fd4e86b63d47779b39afbb;;2;;2;Individui;200000;200000;;12/12/2022
M1C1R1.02.01;Ufficio Trasformazione;148;Avviso pubblico per la ricerca di n. 1 Program manager - infrastrutture digitali e cloud da assegnare alla Presidenza del Consiglio dei ministri – Dipartimento per la trasformazione digitale – Team centrale del Transformation Office;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;21/07/2022;01/08/2022;;Aggiudicato;https://portale.inpa.gov.it/ui/public-area/concoursedetail/b6e6a4f84c4e403587ea332433b4a740;;1;;1;Individui;;;;12/12/2022
M1C1R1.02.01;Ufficio Trasformazione;149;"Avviso pubblico per la ricerca di n. 1 Esperto nella pianificazione e nell’esecuzione degli interventi di trasformazione digitale 
da assegnare alla Presidenza del Consiglio dei ministri – Dipartimento per la trasformazione digitale – Team centrale del Transformation Office";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;21/07/2022;01/08/2022;;Aggiudicato;https://portale.inpa.gov.it/ui/public-area/concoursedetail/e5e1db33dd6a4b6a9a048a3a261fb6f8;;1;;1;Individui;;;;12/12/2022
M1C1R1.02.01;Ufficio Trasformazione;150;Avviso pubblico per la ricerca di n. 1 Responsabile pianificazione e controllo operativo da assegnare alla Presidenza del Consiglio dei ministri – Dipartimento per la trasformazione digitale – Team centrale del Transformation Office;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;21/07/2022;01/08/2022;;Aggiudicato;https://portale.inpa.gov.it/ui/public-area/concoursedetail/4c7ae002744e4620b13bf6cee2cea750;;1;;1;Individui;;;;12/12/2022
M1C1R1.02.01;Ufficio Trasformazione;166;Avviso pubblico per la ricerca di n. 1 Area manager da assegnare alla Presidenza del Consiglio dei ministri – Dipartimento per la trasformazione digitale – Team centrale del Transformation Office;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;19/08/2022;29/08/2022;;Chiuso;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=aea0ef524c2c441aad72eebeef68f5c;;;;;Individui;;;;12/12/2022
M1C1R1.02.01;Ufficio Trasformazione;167;Avviso pubblico per la ricerca di n. 1 Chief Operations Officer da assegnare alla Presidenza del Consiglio dei ministri – Dipartimento per la trasformazione digitale Team centrale del Transformation Office;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;19/08/2022;29/08/2022;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=77aacc1beb804a4389b2be29c9c0ee16;;1;;1;Individui;;;;19/01/2023
M1C1R1.02.01;Ufficio Trasformazione;168;Avviso pubblico per la ricerca di n. 1 Community Manager da assegnare alla Presidenza del Consiglio dei ministri – Dipartimento per la trasformazione digitale – Team centrale del Transformation Office;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;19/08/2022;29/08/2022;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=6d597d82ab9243b0915aa35674cc53c7;;1;;1;Individui;;;;19/01/2023
M1C1R1.02.01;Ufficio Trasformazione;169;Avviso pubblico per la ricerca di n. 1 Data Steward da assegnare alla Presidenza del Consiglio dei ministri – Dipartimento per la trasformazione digitale – Team centrale del Transformation Office;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;19/08/2022;29/08/2022;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=195a714b945d482abe6ce54f1ce44b38;;1;;1;Individui;;;;19/01/2023
M1C1R1.02.01;Ufficio Trasformazione;170;vviso pubblico per la ricerca di n. 1 Esperta/o nella pianificazione e nell’esecuzione degli interventi di trasformazione digitale da assegnare alla Presidenza del Consiglio dei ministri – Dipartimento per la trasformazione digitale;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;19/08/2022;29/08/2022;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=cf68ade19e0d4dda97c7217263f559a2;;1;;1;Individui;;;;19/01/2023
M1C1R1.02.01;Ufficio Trasformazione;171;Avviso pubblico per la ricerca di n. 1 Product Owner da assegnare alla Presidenza del Consiglio dei ministri – Dipartimento per la trasformazione digitale ;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;19/08/2022;29/08/2022;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=3e2e2b27b7994396abcbb308cb0c3ff9;;1;;1;Individui;;;;19/01/2023
M1C1R1.02.01;Ufficio Trasformazione;172;Avviso pubblico per la ricerca di n. 1 Technical Project Manager da assegnare alla Presidenza del Consiglio dei ministri – Dipartimento per la trasformazione digitale;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;19/08/2022;29/08/2022;;Aggiudicato;https://www.inpa.gov.it/bandi-e-avvisi/dettaglio-bando-avviso/?concorso_id=19db581775784ffda13b858ab4943978;;1;;1;Individui;;;;19/01/2023
M1C1R1.02.01;Ufficio Trasformazione;175;Avviso pubblico per la ricerca di n. 1 Community Manager ;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;01/09/2022;12/09/2022;;Aggiudicato;https://portale.inpa.gov.it/ui/public-area/concoursedetail/7d77a7d3f18642a6922522955771797c;;1;;1;Individui;;;;12/12/2022
M1C1R1.02.01;Ufficio Trasformazione;176;Avviso pubblico per la ricerca di n. 1 Product Owner;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;01/09/2022;12/09/2022;;Aggiudicato;https://portale.inpa.gov.it/ui/public-area/concoursedetail/c85dd52b63b24cad910baf3c4b671324;;1;;1;Individui;;;;12/12/2022
M1C1R1.02.01;Ufficio Trasformazione;177;Avviso pubblico per la ricerca di n. 1 Program manager - dati, interoperabilità e piattaforme digitali ;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;01/09/2022;12/09/2022;;Aggiudicato;https://portale.inpa.gov.it/ui/public-area/concoursedetail/f3c49c1530014d52acb6416721ecde90;;1;;1;Individui;;;;12/12/2022
M1C1R1.02.01;Ufficio Trasformazione;178;Avviso pubblico per la ricerca di n. 2 Esperti per il project management office;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;01/09/2022;12/09/2022;;Aggiudicato;https://portale.inpa.gov.it/ui/public-area/concoursedetail/09d55c0f1b4b49e18628395a547ab886;;2;;2;Individui;;;;12/12/2022
M1C1R1.02.01;Ufficio Trasformazione;192;Avviso pubblico per la ricerca di n.1 Technical Project manager;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;20/09/2022;30/09/2022;;Aggiudicato;https://portale.inpa.gov.it/ui/public-area/concoursedetail/e185e4f912c948a8ad655368c6d86ddd;;1;;1;esperti;81000;81000;;19/01/2023
M1C1R1.02.01;Ufficio Trasformazione;193;Avviso pubblico per la ricerca di n. 1 Area manager;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;20/09/2022;30/09/2022;;Aggiudicato;https://portale.inpa.gov.it/ui/public-area/concoursedetail/d3e16c077dd34024bb412f057f5d319d;;1;;1;esperti;110000;110000;;19/01/2023
M1C1R1.02.01;Ufficio Trasformazione;194;Avviso pubblico per la ricerca di n. 1 Product Owner;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;20/09/2022;30/09/2022;;Aggiudicato;https://portale.inpa.gov.it/ui/public-area/concoursedetail/038fa47e4c114021bbb5926a5c8c3773;;1;;1;esperti;90000;90000;;19/01/2023
M1C1R1.02.01;Ufficio Trasformazione;195;Avviso pubblico per la ricerca di n. 1 Program manager - infrastrutture digitali e cloud ;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;20/09/2022;30/09/2022;;Aggiudicato;https://portale.inpa.gov.it/ui/public-area/concoursedetail/22ccc1e9cf7c463da097fcc4ab10c9d8;;1;;1;esperti;110000;110000;;19/01/2023
M1C1R1.02.01;Ufficio Trasformazione;196;Avviso pubblico per la ricerca di n. 1 Esperto giuridico e affari legali;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;;;20/09/2022;30/09/2022;;Aggiudicato;https://portale.inpa.gov.it/ui/public-area/concoursedetail/3a50907ed6e943feaafbde16c0559255;;1;;1;esperti;105000;105000;;19/01/2023
M1C2I3.01.01;Piano Italia a 1 Gbps;54;Concessione di contributi pubblici per il finanziamento di progetti di investimento per la realizzazione di nuove infrastrutture di telecomunicazioni e relativi apparati di accesso in grado di erogare servizi con capacità di almeno 1 Gbit/s in download;;MINISTERO DELL'INTERNO;80188230587;N/A;3619117720;;15/01/2022;31/03/2022;;Chiuso;https://innovazione.gov.it/dipartimento/focus/consultazione-pubblica-piano-italia-1-giga-bul/;2;;3390430931;2;operatore economico;;;;26/05/2022
M1C2I3.01.01;Piano Italia a 1 Gbps;124;Bando per la concessione di contributi pubblici per il finanziamento di progetti di investimento per la realizzazione di nuove infrastrutture di telecomunicazioni e relativi apparati di accesso in grado di erogare servizi con capacità di almeno 1 gbit/s in download e 200 mbit/s in upload - Province autonome di Trento e Bolzano;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;N/A;65006640;;29/04/2022;30/06/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/avviso-di-gara-province-autonome-di-trento-e-bolzano-italia-1giga;;;;1;operatori economici;65006640;65006640;;30/06/2022
M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);91;Bando per la concessione di contributi pubblici nell’ambito del piano “Italia 5g” per la realizzazione di rilegamenti in fibra ottica di siti radiomobili - Lotto 1. Lombardia, Piemonte, Valle d'Aosta;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;170143333;170143333;;21/03/2022;09/05/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/bando-piano-italia-5g;;2;;1;Imprese;132562088;132562088;;14/06/2022
M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);92;Bando per la concessione di contributi pubblici nell’ambito del piano “Italia 5g” per la realizzazione di rilegamenti in fibra ottica di siti radiomobili - Lotto 2. Veneto, Friuli-Venezia Giulia, p.a. Trento, p.a. Bolzano;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;123855541;123855541;;21/03/2022;09/05/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/bando-piano-italia-5g;;2;;1;Imprese;101581600;101581600;;14/06/2022
M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);93;Bando per la concessione di contributi pubblici nell’ambito del piano “Italia 5g” per la realizzazione di rilegamenti in fibra ottica di siti radiomobili - Lotto 3. Emilia-Romagna, Toscana, Liguria;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;164949616;164949616;;21/03/2022;09/05/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/bando-piano-italia-5g;;1;;1;Imprese;124769169;124769169;;14/06/2022
M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);94;Bando per la concessione di contributi pubblici nell’ambito del piano “Italia 5g” per la realizzazione di rilegamenti in fibra ottica di siti radiomobili - Lotto 4.  Lazio, Sardegna, Umbria, Marche;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;166275768;166275768;;21/03/2022;09/05/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/bando-piano-italia-5g;;1;;1;Imprese;125380710;125380710;;14/06/2022
M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);95;Bando per la concessione di contributi pubblici nell’ambito del piano “Italia 5g” per la realizzazione di rilegamenti in fibra ottica di siti radiomobili - Lotto 5.   Abruzzo, Molise, Campania, Basilicata, Puglia;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;176163382;176163382;;21/03/2022;09/05/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/bando-piano-italia-5g;;1;;1;Imprese;135031969;135031969;;14/06/2022
M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);96;Bando per la concessione di contributi pubblici nell’ambito del piano “Italia 5g” per la realizzazione di rilegamenti in fibra ottica di siti radiomobili - Lotto 6.   Calabria, Sicilia;;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;147745259;147745259;;21/03/2022;09/05/2022;;Aggiudicato;https://www.infratelitalia.it/archivio-documenti/documenti/bando-piano-italia-5g;;2;;1;Imprese;105718284;105718284;;14/06/2022
M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);97;"Bando per la concessione di contributi pubblici nell’ambito del piano “italia 5g” per la realizzazione di nuove infrastrutture di rete idonee a fornire servizi radiomobili con velocità di trasmissione di almeno 150 mbit/s in downlink e 30 mbit/s in uplink. Lotto 1. Lazio, Piemonte, Valle d'Aosta
";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;0;0;;21/03/2022;09/05/2022;;Gara deserta;https://www.infratelitalia.it/archivio-documenti/documenti/bando-contributi-italia-5g;0;0;0;0;Imprese;;;;27/05/2022
M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);98;"Bando per la concessione di contributi pubblici nell’ambito del piano “italia 5g” per la realizzazione di nuove infrastrutture di rete idonee a fornire servizi radiomobili con velocità di trasmissione di almeno 150 mbit/s in downlink e 30 mbit/s in uplink. Lotto 2. Liguria, Sicilia, Toscana
";;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;80188230587;0;0;;21/03/2022;09/05/2022;;Gara deserta;https://www.infratelitalia.it/archivio-documenti/documenti/bando-contributi-italia-5g;0;0;0;0;Imprese;;;;27/05/2022
