Programma;Missione;Descrizione Missione;Componente;Descrizione Componente;ID Misura;Codice Univoco Misura;Descrizione Misura;ID Submisura;Codice Univoco Sub-misura;Codice CID;Descrizione Sub-misura;Amministrazione Titolare;Codice Indicatore;Descrizione Indicatore;Unità di misura;Stock o Flusso;Anno Ob.;Semestre;Valore Indicatore
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.2;M1C1I3.00.02;M1C1I1.8;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;Giust Amministrativa;C14.B;NUMERO DI GIOVANI DI ETÀ COMPRESA TRA I 15 E I 29 ANNI CHE RICEVONO SOSTEGNO (NON-BINARIO);Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.2;M1C1I3.00.02;M1C1I1.8;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;Giust Amministrativa;C14.F;NUMERO DI GIOVANI DI ETÀ COMPRESA TRA I 15 E I 29 ANNI CHE RICEVONO SOSTEGNO (DONNE);Persone;Flusso;2022;I;75
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.2;M1C1I3.00.02;M1C1I1.8;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;Giust Amministrativa;C14.M;NUMERO DI GIOVANI DI ETÀ COMPRESA TRA I 15 E I 29 ANNI CHE RICEVONO SOSTEGNO (UOMINI);Persone;Flusso;2022;I;52
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.2;M1C1I3.00.02;M1C1I1.8;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;Giust Amministrativa;C10.A;NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (UOMINI ETÀ 0-17);Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.2;M1C1I3.00.02;M1C1I1.8;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;Giust Amministrativa;C10.B;NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (UOMINI ETÀ 18-29);Persone;Flusso;2022;I;52
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.2;M1C1I3.00.02;M1C1I1.8;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;Giust Amministrativa;C10.C;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (UOMINI; 30-54)";Persone;Flusso;2022;I;16
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.2;M1C1I3.00.02;M1C1I1.8;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;Giust Amministrativa;C10.D;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (UOMINI; 55<)";Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.2;M1C1I3.00.02;M1C1I1.8;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;Giust Amministrativa;C10.E;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (DONNE; ETÀ 0-17)";Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.2;M1C1I3.00.02;M1C1I1.8;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;Giust Amministrativa;C10.F;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (DONNE; ETÀ 18-29)";Persone;Flusso;2022;I;75
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.2;M1C1I3.00.02;M1C1I1.8;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;Giust Amministrativa;C10.G;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (DONNE; 30-54)";Persone;Flusso;2022;I;34
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.2;M1C1I3.00.02;M1C1I1.8;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;Giust Amministrativa;C10.H;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (DONNE; 55<)";Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.2;M1C1I3.00.02;M1C1I1.8;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;Giust Amministrativa;C10.I;NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (NON-BINARIO ETÀ 0-17);Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.2;M1C1I3.00.02;M1C1I1.8;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;Giust Amministrativa;C10.L;NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (NON-BINARIO 18-29);Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.2;M1C1I3.00.02;M1C1I1.8;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;Giust Amministrativa;C10.M;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (NON-BINARIO; 30-54)";Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.2;M1C1I3.00.02;M1C1I1.8;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;Giust Amministrativa;C10.N;"NUMERO DI PARTECIPANTI IN UN PERCORSO DI ISTRUZIONE O DI FORMAZIONE (NON-BINARIO; 55<)";Persone;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.1;M1C2I1.01.01;M1C2I1;Credito d'imposta per i beni strumentali 4.0;MISE - Min Svil Eco;C9.G;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (GRANDI IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.1;M1C2I1.01.01;M1C2I1;Credito d'imposta per i beni strumentali 4.0;MISE - Min Svil Eco;C9.M;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (MEDIE IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.1;M1C2I1.01.01;M1C2I1;Credito d'imposta per i beni strumentali 4.0;MISE - Min Svil Eco;C9.S;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (PICCOLE E MICRO IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.2;M1C2I1.01.02;M1C2I1;Credito d'imposta (immateriali non 4.0);MISE - Min Svil Eco;C9.G;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (GRANDI IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.2;M1C2I1.01.02;M1C2I1;Credito d'imposta (immateriali non 4.0);MISE - Min Svil Eco;C9.M;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (MEDIE IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.2;M1C2I1.01.02;M1C2I1;Credito d'imposta (immateriali non 4.0);MISE - Min Svil Eco;C9.S;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (PICCOLE E MICRO IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.3;M1C2I1.01.03;M1C2I1;Crediti d'imposta per beni immateriali tradizionali;MISE - Min Svil Eco;C9.G;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (GRANDI IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.3;M1C2I1.01.03;M1C2I1;Crediti d'imposta per beni immateriali tradizionali;MISE - Min Svil Eco;C9.M;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (MEDIE IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.3;M1C2I1.01.03;M1C2I1;Crediti d'imposta per beni immateriali tradizionali;MISE - Min Svil Eco;C9.S;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (PICCOLE E MICRO IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.4;M1C2I1.01.04;M1C2I1;Credito d'imposta per R&D&I;MISE - Min Svil Eco;C9.G;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (GRANDI IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.4;M1C2I1.01.04;M1C2I1;Credito d'imposta per R&D&I;MISE - Min Svil Eco;C9.M;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (MEDIE IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.4;M1C2I1.01.04;M1C2I1;Credito d'imposta per R&D&I;MISE - Min Svil Eco;C9.S;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (PICCOLE E MICRO IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.5;M1C2I1.01.05;M1C2I1;Credito d’imposta formazione;MISE - Min Svil Eco;C9.G;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (GRANDI IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.5;M1C2I1.01.05;M1C2I1;Credito d’imposta formazione;MISE - Min Svil Eco;C9.M;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (MEDIE IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.5;M1C2I1.01.05;M1C2I1;Credito d’imposta formazione;MISE - Min Svil Eco;C9.S;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (PICCOLE E MICRO IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I2.1;M1C2I2.01;Innovazione e tecnologia della Microelettronica;M1C2I2.1;M1C2I2.01.00;M1C2I2;Innovazione e tecnologia della Microelettronica;MEF - Min Eco e Fin;C9.G;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (GRANDI IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I2.1;M1C2I2.01;Innovazione e tecnologia della Microelettronica;M1C2I2.1;M1C2I2.01.00;M1C2I2;Innovazione e tecnologia della Microelettronica;MEF - Min Eco e Fin;C9.M;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (MEDIE IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I2.1;M1C2I2.01;Innovazione e tecnologia della Microelettronica;M1C2I2.1;M1C2I2.01.00;M1C2I2;Innovazione e tecnologia della Microelettronica;MEF - Min Eco e Fin;C9.S;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (PICCOLE E MICRO IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I3.1;M1C2I3.01;Connessioni internet veloci (banda ultra-larga e 5G);M1C2I3.1.1;M1C2I3.01.01;M1C2I3;Piano Italia a 1 Gbps;MITD - MIN INNOV TEC;C5;ABITAZIONI AGGIUNTIVE CON ACCESSO A INTERNET FORNITO ATTRAVERSO RETI AD ALTISSIMA CAPACITÀ;Abitazioni;Stock;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I3.1;M1C2I3.01;Connessioni internet veloci (banda ultra-larga e 5G);M1C2I3.1.2;M1C2I3.01.02;M1C2I3;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);MITD - MIN INNOV TEC;C5;ABITAZIONI AGGIUNTIVE CON ACCESSO A INTERNET FORNITO ATTRAVERSO RETI AD ALTISSIMA CAPACITÀ;Abitazioni;Stock;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I3.1;M1C2I3.01;Connessioni internet veloci (banda ultra-larga e 5G);M1C2I3.1.5;M1C2I3.01.05;M1C2I3;Collegamento isole minori;MITD - MIN INNOV TEC;C5;ABITAZIONI AGGIUNTIVE CON ACCESSO A INTERNET FORNITO ATTRAVERSO RETI AD ALTISSIMA CAPACITÀ;Abitazioni;Stock;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I5.1;M1C2I5.01;Politiche industriali di filiera e internazionalizzazione  ;M1C2I5.1.1;M1C2I5.01.01;M1C2I5.1;Rifinanziamento e ridefinizione del Fondo 394/81 gestito da SIMEST;MAECI - Min Aff Est;C6A.L;IMPRESE BENEFICIARIE DI UN SOSTEGNO PER SVILUPPARE O ADOTTARE PRODOTTI, SERVIZI E PROCESSI APPLICATIVI DIGITALI - SVILUPPO DI TE;Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I5.1;M1C2I5.01;Politiche industriali di filiera e internazionalizzazione  ;M1C2I5.1.1;M1C2I5.01.01;M1C2I5.1;Rifinanziamento e ridefinizione del Fondo 394/81 gestito da SIMEST;MAECI - Min Aff Est;C6A.M;IMPRESE BENEFICIARIE DI UN SOSTEGNO PER SVILUPPARE O ADOTTARE PRODOTTI, SERVIZI E PROCESSI APPLICATIVI DIGITALI - SVILUPPO DI TE;Imprese;Flusso;2022;I;2164
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I5.1;M1C2I5.01;Politiche industriali di filiera e internazionalizzazione  ;M1C2I5.1.1;M1C2I5.01.01;M1C2I5.1;Rifinanziamento e ridefinizione del Fondo 394/81 gestito da SIMEST;MAECI - Min Aff Est;C6A.S;IMPRESE BENEFICIARIE DI UN SOSTEGNO PER SVILUPPARE O ADOTTARE PRODOTTI, SERVIZI E PROCESSI APPLICATIVI DIGITALI - SVILUPPO DI TE;Imprese;Flusso;2022;I;2164
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I5.1;M1C2I5.01;Politiche industriali di filiera e internazionalizzazione  ;M1C2I5.1.1;M1C2I5.01.01;M1C2I5.1;Rifinanziamento e ridefinizione del Fondo 394/81 gestito da SIMEST;MAECI - Min Aff Est;C9.G;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (GRANDI IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I5.1;M1C2I5.01;Politiche industriali di filiera e internazionalizzazione  ;M1C2I5.1.1;M1C2I5.01.01;M1C2I5.1;Rifinanziamento e ridefinizione del Fondo 394/81 gestito da SIMEST;MAECI - Min Aff Est;C9.M;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (MEDIE IMPRESE);Imprese;Flusso;2022;I;2164
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I5.1;M1C2I5.01;Politiche industriali di filiera e internazionalizzazione  ;M1C2I5.1.1;M1C2I5.01.01;M1C2I5.1;Rifinanziamento e ridefinizione del Fondo 394/81 gestito da SIMEST;MAECI - Min Aff Est;C9.S;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (PICCOLE E MICRO IMPRESE);Imprese;Flusso;2022;I;2164
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I5.1;M1C2I5.01;Politiche industriali di filiera e internazionalizzazione  ;M1C2I5.1.2;M1C2I5.01.02;M1C2I5.1;Competitività e resilienza delle filiere produttive;MISE - Min Svil Eco;C9.G;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (GRANDI IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I5.1;M1C2I5.01;Politiche industriali di filiera e internazionalizzazione  ;M1C2I5.1.2;M1C2I5.01.02;M1C2I5.1;Competitività e resilienza delle filiere produttive;MISE - Min Svil Eco;C9.M;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (MEDIE IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I5.1;M1C2I5.01;Politiche industriali di filiera e internazionalizzazione  ;M1C2I5.1.2;M1C2I5.01.02;M1C2I5.1;Competitività e resilienza delle filiere produttive;MISE - Min Svil Eco;C9.S;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (PICCOLE E MICRO IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I6.1;M1C2I6.01;Investimento nel sistema della proprietà industriale;M1C2I6.1;M1C2I6.01.00;M1C2I6;Investimento nel sistema della proprietà industriale;MISE - Min Svil Eco;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti/anno;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I6.1;M1C2I6.01;Investimento nel sistema della proprietà industriale;M1C2I6.1;M1C2I6.01.00;M1C2I6;Investimento nel sistema della proprietà industriale;MISE - Min Svil Eco;C9.G;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (GRANDI IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I6.1;M1C2I6.01;Investimento nel sistema della proprietà industriale;M1C2I6.1;M1C2I6.01.00;M1C2I6;Investimento nel sistema della proprietà industriale;MISE - Min Svil Eco;C9.M;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (MEDIE IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I6.1;M1C2I6.01;Investimento nel sistema della proprietà industriale;M1C2I6.1;M1C2I6.01.00;M1C2I6;Investimento nel sistema della proprietà industriale;MISE - Min Svil Eco;C9.S;IMPRESE BENEFICIARIE DI UN SOSTEGNO - (PICCOLE E MICRO IMPRESE);Imprese;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I1.1;M1C3I1.01;Strategia digitale e piattaforme per il patrimonio culturale;M1C3I1.1.1;M1C3I1.01.01;M1C3I1.1;Piano nazionale di digitalizzazione per i beni culturali;MIC - Min Cultura;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti/anno;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I1.1;M1C3I1.01;Strategia digitale e piattaforme per il patrimonio culturale;M1C3I1.1.10;M1C3I1.01.10;M1C3I1.1;Piattaforma di accesso integrata della Digital Library;MIC - Min Cultura;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti/anno;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I1.1;M1C3I1.01;Strategia digitale e piattaforme per il patrimonio culturale;M1C3I1.1.11;M1C3I1.01.11;M1C3I1.1;Piattaforma di co-creazione e crowdsourcing;MIC - Min Cultura;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti/anno;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I1.1;M1C3I1.01;Strategia digitale e piattaforme per il patrimonio culturale;M1C3I1.1.12;M1C3I1.01.12;M1C3I1.1;Piattaforma di servizi digitali per sviluppatori e imprese culturali;MIC - Min Cultura;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti/anno;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I1.1;M1C3I1.01;Strategia digitale e piattaforme per il patrimonio culturale;M1C3I1.1.2;M1C3I1.01.02;M1C3I1.1;Sistema di certificazione dell'identità digitale per i beni culturali;MIC - Min Cultura;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti/anno;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I1.1;M1C3I1.01;Strategia digitale e piattaforme per il patrimonio culturale;M1C3I1.1.3;M1C3I1.01.03;M1C3I1.1;Servizi di infrastruttura cloud;MIC - Min Cultura;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti/anno;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I1.1;M1C3I1.01;Strategia digitale e piattaforme per il patrimonio culturale;M1C3I1.1.4;M1C3I1.01.04;M1C3I1.1;Infrastruttura digitale per il patrimonio culturale;MIC - Min Cultura;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti/anno;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I1.1;M1C3I1.01;Strategia digitale e piattaforme per il patrimonio culturale;M1C3I1.1.5;M1C3I1.01.05;M1C3I1.1;Digitalizzazione;MIC - Min Cultura;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti/anno;Flusso;2022;I;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C3;Turismo e Cultura 4.0;M1C3I1.1;M1C3I1.01;Strategia digitale e piattaforme per il patrimonio culturale;M1C3I1.1.6;M1C3I1.01.06;M1C3I1.1;Formazione e miglioramento delle competenze digitali;MIC - Min Cultura;C7;UTENTI DI SERVIZI, PRODOTTI E PROCESSI DIGITALI PUBBLICI NUOVI E AGGIORNATI;Utenti/anno;Flusso;2022;I;0
